"subject","trial","action","object","location","relation","...7","step"
1,1,"stepnear",NA,NA,NA,NA,1
1,1,"pickup","kettle","table","from",NA,2
1,1,"pickup","mug","table","from",NA,3
1,1,"pour","water","mug","into",NA,4
1,1,"put","mug","table","on",NA,5
1,1,"put","kettle","table","on",NA,6
1,1,"pickup","teabag","box","from",NA,7
1,1,"put","teabag","mug","into",NA,8
1,1,"pickup","shaker","table","from",NA,9
1,1,"pour","sugar","mug","into",NA,10
1,1,"put","shaker","table","on",NA,11
1,1,"pickup","spoon","table","from",NA,12
1,1,"mix","tea","mug","in",NA,13
1,1,"put","spoon","table","on",NA,14
1,1,"pickup","teabag","mug","from",NA,15
1,1,"put","teabag","cup","into",NA,16
1,1,"pickup","mug","table","from",NA,17
1,1,"drink",NA,NA,NA,NA,18
